adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
,,,,,,,,,,,,,,1995-12-22,10017322,119,en;la,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,exotic island;treasure;map;ship;scalp;pirate
,,,,,,,,,,,,,,1995-12-09,4300000,98,en,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,hotel;new year's eve;witch;bet;hotel room;sperm;los angeles;hoodlum;woman director;episode film
,,,,,,,,,,,,,,1995-12-29,106269971,137,en,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,composer;mentor;deaf-mute;musical;apprentice;private life;music;disabled
,,,,,,,,,,,,,,1994-10-01,22200000,97,en,Released,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,Don Juan DeMarco,False,6.3,184,sex addiction;love;mental institution;patient;psychiatrist;don juan
,,,,,,,,,,,,,,1994-11-11,223664608,123,en;fr,Released,Drink from me and live forever,Interview with the Vampire,False,7.2,1558,paris;san francisco;vampire;plantation;pity;bite;fang vamp
,,,,,,,,,,,,,,1977-05-25,775398007,121,en,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778,android;galaxy;hermit;death star;lightsaber;jedi;rescue mission;empire;rebellion;planet;smuggler;the force;space opera;galactic war;stormtrooper;totalitarianism
,,,,,,,,,,,,,,1994-09-02,2201126,99,en;mi,Released,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",Once Were Warriors,False,7.6,106,individual;slum;suicide;tattoo;alcohol;rape;tradition;loss of child;indigenous;despair;violent husband;ghetto;new zealand;maori;strong woman;lack of prospects;maori tradition;funeral;approved school ;crush;independent film;teacher;youth gang;domestic violence;violence;rebellious youth;alcohol abuse;incest;unemployment
,,,,,,,,,,,,,,1994-05-27,0,99,fr,Released,,Three Colors: Red,False,7.8,246,judge;isolation;mannequin;shadowing;english channel;geneva;travel;dog
,,,,,,,,,,,,,,1994-09-29,15119639,106,en,Released,Success is the best revenge.,Muriel's Wedding,False,6.9,104,individual;becoming an adult;dream;return;love of one's life;overweight;province;bathing;olympic games;empowerment;boredom;daughter;friendship
,,,,,,,,,,,,,,1993-08-20,74189677,97,en,Released,Don't hunt what you can't kill.,Hard Target,False,6.1,237,new orleans;mercenary;hunting human beings;money;drifter;union;sailor;human prey
,,,,,,,,,,,,,,1993-10-15,12136938,110,en,Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,False,6.4,79,chicago;drug dealer;boxing match;escape;one night
,,,,,,,,,,,,,,1993-06-11,920100000,127,en;es,Released,An adventure 65 million years in the making.,Jurassic Park,False,7.6,4956,exotic island;dna;paleontology;tyrannosaurus rex;triceratops;brontosaurus;electric fence;island;dinosaur;amusement park;theme park;jurassic park
,,,,,,,,,,,,,,1993-11-24,441286195,125,en,Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,False,7.0,1638,san francisco;parent child relationship;restaurant;nanny;mask;custody battle;fake identity
,,,,,,,,,,,,,,1993-06-24,227799884,105,en,Released,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,False,6.5,630,father son relationship;lovesickness;journalist;loss of mother;loss of lover;radio station;christmas party;love of one's life;radio;seattle;baltimore;fiancé;radio presenter;airplane;radio transmission;observation deck;friendship;unsociability;woman director
,,,,,,,,,,,,,,1996-07-24,152266007,149,en,Released,Experience a time you'll never forget.,A Time to Kill,False,7.0,522,ku klux klan;rape;mississippi;jurors;blackmail;attempted murder;forgiveness;court;shooting;murder;suspense;lawyer;trial;courtroom;racial tension;kkk;racial issues;courtroom drama
,,,,,,,,,,,,,,1968-04-10,68700000,149,en;ru,Released,An epic drama of adventure and exploration,2001: A Space Odyssey,False,7.9,3075,moon;jupiter;artificial intelligence;man vs machine;technology;super computer;human being;space travel;space mission;moon base;astronaut;evolution;monolith;space station
,,,,,,,,,,,,,,1940-04-12,6000000,130,en;fr,Released,The shadow of this woman darkened their love.,Rebecca,False,7.7,346,monte carlo;based on novel;age difference;secret;obsession;bride;cornwall;love;suspense;rural setting;devotion;housekeeper;death;estate;costume party;film noir;second wife
,,,,,,,,,,,,,,1935-06-01,0,86,en,Released,Handcuffed to the girl who double-crossed him,The 39 Steps,False,7.4,217,london england;scotland;scotland yard;handcuffs;secret;entertainer;intelligence;cabaret;secret agent;murder;fugitive;train;memorization;manhunt;handcuffed together;held against will;bickering couple;wrongly accused
,,,,,,,,,,,,,,1954-12-23,28200000,127,en,Released,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",False,6.9,160,diving;ocean;submarine;jules verne;captain;atlantis;deep sea;war ship;diving suit;harpoon;ship;war;scuba diving;underwater;scuba;captain nemo;giant  squid
,,,,,,,,,,,,,,1996-10-31,147298761,120,en,Released,My only love sprung from my only hate.,Romeo + Juliet,False,6.7,1406,shakespeare;forbidden love;gun violence;star crossed lovers;shakespeare in modern dress;teenage romance;masquerade;shakespeare's romeo and juliet;gangster grip
,,,,,,,,,,,,,,1992-09-02,14661007,99,en,Released,Every dog has his day.,Reservoir Dogs,False,8.1,3821,traitor;jewelry;psychopath;thief;heist;betrayal;mystery;escape;gang;plan gone wrong;warehouse;ensemble cast;all male cast;told in flashback;heist gone wrong;foreshadowing;rendezvous;iconic;set in one room;uneasy alliance;rag tag group
,,,,,,,,,,,,,,1971-12-18,26589000,136,en,Released,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",A Clockwork Orange,False,8.0,3432,prison;street gang;rape;adolescence;sexuality;beethoven;parent child relationship;social worker;living together;society;dystopia;controversy;controversial;violence;futuristic society
,,,,,,,,,,,,,,1962-12-25,13129846,129,en,Released,,To Kill a Mockingbird,False,7.9,676,black people;based on novel;brother sister relationship;becoming an adult;isolation;arbitrary law;socially deprived family;tree house;wrong accusal;farm worker;intolerance;exclusion;court case;defence;right and justice;court;child
,,,,,,,,,,,,,,1949-08-31,596349,104,en;ru;de,Released,Hunted by men ... Sought by WOMEN!,The Third Man,False,7.9,431,austria;cemetery;famous score;black market;soviet troops;prater;british army;postwar period;occupying power;staged death;cover-up;romance;suspense;sewer;brit noir;amusement park;ferris wheel;film noir;vienna;zither;evasion
